Rho    Z    Tetta    Fi
7.40e+01    1.07e+00    7.90e+01    1.64e+02
2.13e+02    3.03e+00    8.30e+01    1.47e+02
1.40e+01    5.06e+00    8.00e+01    1.38e+02
1.00e+00    6.88e+00    8.10e+01    1.25e+02
1.50e+01    8.52e+00    7.60e+01    1.38e+02
1.00e+00    1.01e+01    8.00e+01    1.32e+02
5.00e+00    1.21e+01    8.30e+01    1.40e+02
6.70e+01    1.40e+01    7.80e+01    1.23e+02
7.00e+00    1.58e+01    8.20e+01    1.34e+02
1.10e+01    1.80e+01    8.30e+01    1.49e+02
2.00e+00    2.05e+01    8.40e+01    1.66e+02
9.00e+00    2.26e+01    7.90e+01    1.76e+02
1.20e+01    2.46e+01    8.30e+01    1.93e+02
6.00e+00    2.70e+01    8.40e+01    1.82e+02
4.00e+00    2.91e+01    7.90e+01    1.87e+02
4.74e+02    3.07e+01    7.70e+01    1.73e+02
3.10e+01    3.21e+01    7.60e+01    1.76e+02
7.00e+00    3.35e+01    7.70e+01    1.61e+02
5.10e+01    3.49e+01    7.60e+01    1.69e+02
2.00e+00    3.64e+01    7.80e+01    1.81e+02
1.40e+01    3.80e+01    8.00e+01    1.66e+02
1.10e+01    3.99e+01    8.10e+01    1.71e+02
2.00e+00    4.15e+01    7.70e+01    1.82e+02
2.70e+01    4.33e+01    8.20e+01    1.99e+02
4.20e+01    4.51e+01    7.80e+01    2.03e+02
1.00e+00    4.67e+01    7.90e+01    1.94e+02
1.60e+01    4.82e+01    7.70e+01    1.85e+02
6.00e+00    4.97e+01    7.80e+01    1.88e+02
3.00e+00    5.13e+01    7.90e+01    2.03e+02
2.90e+01    5.29e+01    7.80e+01    2.20e+02
1.75e+02    5.48e+01    8.30e+01    2.27e+02
5.00e+01    5.67e+01    7.80e+01    2.24e+02
5.00e+00    5.85e+01    8.20e+01    2.31e+02
7.90e+01    6.05e+01    8.10e+01    2.39e+02
1.90e+01    6.22e+01    7.80e+01    2.51e+02
6.00e+00    6.37e+01    7.50e+01    2.65e+02
3.00e+00    6.52e+01    7.90e+01    2.70e+02
8.00e+00    6.70e+01    8.20e+01    2.63e+02
1.00e+00    6.92e+01    8.30e+01    2.51e+02
5.00e+00    7.12e+01    7.90e+01    2.56e+02
1.00e+01    7.27e+01    7.60e+01    2.52e+02
2.00e+00    7.42e+01    7.90e+01    2.60e+02
6.00e+00    7.57e+01    7.50e+01    2.43e+02
2.00e+00    7.71e+01    7.80e+01    2.37e+02
1.50e+01    7.89e+01    8.20e+01    2.29e+02
8.00e+00    8.14e+01    8.50e+01    2.35e+02
2.60e+01    8.41e+01    8.30e+01    2.32e+02
5.00e+00    8.62e+01    8.10e+01    2.39e+02
8.00e+00    8.80e+01    7.90e+01    2.47e+02
5.00e+00    8.94e+01    7.50e+01    2.36e+02
1.00e+00    9.08e+01    7.70e+01    2.45e+02
2.40e+01    9.25e+01    8.10e+01    2.56e+02
9.00e+00    9.41e+01    7.60e+01    2.71e+02
6.60e+01    9.58e+01    8.10e+01    2.75e+02
1.00e+00    9.80e+01    8.40e+01    2.66e+02
